epoch_s,t_s,altitude_m
1789596878.38,42.39,0.1950
1789596878.58,42.59,0.1950
1789596878.78,42.79,0.1950
1789596878.98,42.99,0.1950
1789596879.18,43.19,0.1950
1789596879.38,43.39,0.1950
1789596879.58,43.60,0.1950
1789596879.78,43.79,0.1950
1789596879.98,43.99,0.1950
1789596880.18,44.19,0.1950
1789596880.38,44.39,0.1950
1789596880.58,44.60,0.1950
1789596880.78,44.79,0.1950
1789596880.98,44.99,0.1950
1789596881.18,45.20,0.1950
1789596881.38,45.39,0.1950
1789596881.58,45.59,0.1950
1789596881.78,45.79,0.1950
1789596881.98,45.99,0.1950
1789596882.18,46.19,0.1950
1789596882.38,46.40,0.1950
1789596882.58,46.59,0.1950
1789596882.78,46.79,0.1950
1789596882.98,47.00,0.1950
1789596883.18,47.20,0.1950
1789596883.38,47.39,0.1950
1789596883.58,47.59,0.1950
1789596883.78,47.79,0.1950
1789596883.98,47.99,0.1950
1789596884.18,48.19,0.1950
1789596884.38,48.39,0.1950
1789596884.58,48.59,0.1950
1789596884.78,48.79,0.1950
1789596884.98,48.99,0.1950
1789596885.18,49.19,0.1950
1789596885.38,49.39,0.1950
1789596885.58,49.59,0.1950
1789596885.78,49.79,0.1950
1789596885.98,49.99,0.1950
1789596886.18,50.19,0.1950
1789596886.38,50.39,0.1999
1789596886.58,50.59,0.2064
1789596886.78,50.79,0.2161
1789596886.98,50.99,0.2292
1789596887.18,51.20,0.2397
1789596887.38,51.39,0.2583
1789596887.58,51.59,0.2803
1789596887.78,51.80,0.3058
1789596887.98,52.00,0.3348
1789596888.18,52.20,0.3561
1789596888.38,52.39,0.3909
1789596888.58,52.59,0.4294
1789596888.78,52.79,0.4570
1789596888.98,52.99,0.5014
1789596889.18,53.19,0.5330
1789596889.38,53.39,0.5835
1789596889.58,53.59,0.6190
1789596889.78,53.79,0.6750
1789596889.98,53.99,0.6943
1789596890.18,54.19,0.7339
1789596890.38,54.39,0.7960
1789596890.58,54.59,0.8840
1789596890.78,54.79,0.9542
1789596890.98,55.00,1.0532
1789596891.18,55.19,1.1568
1789596891.38,55.39,1.2892
1789596891.58,55.59,1.4205
1789596891.78,55.79,1.5461
1789596891.98,55.99,1.6853
1789596892.18,56.19,1.6853
1789596892.38,56.39,1.9021
1789596892.58,56.59,1.9829
1789596892.78,56.79,2.0523
1789596892.98,56.99,2.1205
1789596893.18,57.19,2.1569
1789596896.39,57.23,2.1649
1789596896.58,57.42,2.1983
1789596896.78,57.62,2.2207
1789596896.98,57.82,2.2320
1789596897.18,58.02,2.2339
1789596897.38,58.22,2.2307
1789596897.58,58.42,2.2249
1789596897.78,58.62,2.2181
1789596897.98,58.82,2.2139
1789596898.19,59.03,2.2086
1789596898.38,59.22,2.2061
1789596898.58,59.42,2.2027
1789596898.78,59.62,2.1996
1789596898.98,59.82,2.1977
1789596899.18,60.02,2.1960
1789596899.38,60.22,2.1939
1789596899.58,60.42,2.1927
1789596899.78,60.62,2.1911
1789596899.98,60.82,2.1902
1789596900.18,61.02,2.1891
1789596900.38,61.22,2.1882
